大学,考试方式,学院,专业,研究方向,政治,英语,数学,计算机,网址
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(01)软件工程与系统软件,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202011
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(02)智能化软件与需求工程,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202021
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(03)云计算与普适计算,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202031
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(04)编程语言与程序分析,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202041
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(05)数据库与数据挖掘,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202051
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(06)大数据理论与应用,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202061
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(07)人工智能与机器学习,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202071
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(08)自然语言处理,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202081
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(09)文本知识挖掘与语言工程,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202091
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(10)网络信息处理与信息安全,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202101
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(11)计算机图形学与人机交互,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202111
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(12)生物信息学与生物计算,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202121
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(13)软件理论与计算复杂性理论,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202131
北京大学,统考,(048)信息科学技术学院,(081202)计算机软件与理论,(14)算法博弈论和计算经济学,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081202141
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(01)微处理器结构及设计,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201011
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(02)系统芯片（SoC）设计方法学,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201021
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(03)软硬件协同设计,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201031
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(04)计算机网络与分布式系统,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201041
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(05)搜索引擎与网络信息挖掘,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201051
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(06)面向新硬件新应用的系统软件,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201061
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(07)云计算与大数据,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201071
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(08)云端智能计算系统,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201081
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(09)边缘智能计算系统,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201091
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(10)无线智能与安全,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201101
北京大学,统考,(048)信息科学技术学院,(081201)计算机系统结构,(11)智能机器人系统,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081201111
北京大学,统考,(047)深圳研究生院,(081203)计算机应用技术,(00)不区分研究方向,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121047081203001
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(01)人工智能与媒体计算,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203011
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(02)计算机视觉与数字视觉艺术,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203021
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(03)多媒体信息处理与网络,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203031
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(04)视觉大数据与类脑计算,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203041
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(05)多媒体处理器设计,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203051
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(06)视音频信息处理与网络,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203061
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(07)语言计算与大数据分析,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203071
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(08)计算机图形学与虚拟现实技术,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203081
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(09)网络信息安全与保障,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203091
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(10)多媒体智能计算与机器学习,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203101
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(11)数据库技术及应用,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203111
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(12)计算机网络及应用,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203121
北京大学,统考,(048)信息科学技术学院,(081203)计算机应用技术,(13)计算机图形学与数据可视化,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1000121048081203131
北京大学,统考,(084)前沿交叉学科研究院,(0812J3)数据科学,(01)计算机科学与技术,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=10001210840812J3011
北京大学,统考,(048)信息科学技术学院,(0812Z1)智能科学与技术,(01)数据挖掘与知识发现,(101)思想政治理论,(201)英语一,(301)数学一,(801)计算机专业基础,https://yz.chsi.com.cn/zsml/kskm.jsp?id=10001210480812Z1011
