大学,考试方式,学院,专业,研究方向,网址
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(01)计算机系统结构,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1020021127077500011
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(02)计算机软件与理论,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1020021127077500021
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(03)计算机应用技术,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1020021127077500031
东北师范大学,统考,(127)信息科学与技术学院,(077500)计算机科学与技术,(04)智能科学与技术,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1020021127077500041
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(01)计算机系统结构,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500011
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(02)计算机网络,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500021
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(03)网络空间安全,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500031
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(04)数据科学,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500041
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(05)计算机科学理论,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500051
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(06)计算机图形图像与虚拟现实,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500061
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(07)计算机视觉,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500071
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(08)机器智能与类脑计算,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500081
四川大学,统考,(304)计算机学院,(077500)计算机科学与技术,(09)人机交互与普适计算,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021304077500091
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(01)计算机图形图像与虚拟现实,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021604077500011
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(02)计算机视觉,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021604077500021
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(03)机器智能与类脑计算,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021604077500031
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(04)计算机系统结构,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021604077500041
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(05)计算机网络,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021604077500051
四川大学,统考,(604)视觉合成图形图像技术国防重点学科实验室,(077500)计算机科学与技术,(06)人机交互与普适计算,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1061021604077500061
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(01)智能计算,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1071821020077502011
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(02)社会网络与社会计算,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1071821020077502021
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(03)密码学与信息安全,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1071821020077502031
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(04)智能视觉计算,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1071821020077502041
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(05)机器学习与数据挖掘,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1071821020077502051
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(06)符号计算与自动推理,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1071821020077502061
陕西师范大学,统考,(020)计算机科学学院,(077502)计算机软件与理论,(07)信息融合,https://yz.chsi.com.cn/zsml/kskm.jsp?id=1071821020077502071
