大学,考试方式,学院,专业,研究方向,网址
北京大学,统考,(017)软件与微电子学院,(085212)(专业学位)软件工程,(01)智能化软件工程,"<ahref=""/zsml/kskm.jsp?id=1000121017085212011""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(01)大数据技术与应用,"<ahref=""/zsml/kskm.jsp?id=1000121017085211011""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(02)智能计算,"<ahref=""/zsml/kskm.jsp?id=1000121017085211021""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(03)云计算与服务工程,"<ahref=""/zsml/kskm.jsp?id=1000121017085211031""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(04)网络与系统安全,"<ahref=""/zsml/kskm.jsp?id=1000121017085211041""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(05)大数据与云安全,"<ahref=""/zsml/kskm.jsp?id=1000121017085211051""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(06)增强与虚拟现实,"<ahref=""/zsml/kskm.jsp?id=1000121017085211061""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(07)自然语言处理,"<ahref=""/zsml/kskm.jsp?id=1000121017085211071""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(08)智能系统与物联网,"<ahref=""/zsml/kskm.jsp?id=1000121017085211081""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(09)金融科技,"<ahref=""/zsml/kskm.jsp?id=1000121017085211091""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(10)创新与创业投资管理,"<ahref=""/zsml/kskm.jsp?id=1000121017085211101""target=""_blank"">查看</a>"
北京大学,统考,(017)软件与微电子学院,(085211)(专业学位)计算机技术,(11)计算机辅助翻译,"<ahref=""/zsml/kskm.jsp?id=1000121017085211111""target=""_blank"">查看</a>"
中国人民大学,统考,(159)信息学院（专业学位）,(085212)(专业学位)软件工程,(01)不区分研究方向,"<ahref=""/zsml/kskm.jsp?id=1000221159085212011""target=""_blank"">查看</a>"
清华大学,统考,(410)软件学院,(085212)(专业学位)软件工程,(01)软件工程,"<ahref=""/zsml/kskm.jsp?id=1000321410085212011""target=""_blank"">查看</a>"
清华大学,统考,(024)计算机科学与技术系,(085211)(专业学位)计算机技术,(01)计算机技术,"<ahref=""/zsml/kskm.jsp?id=1000321024085211011""target=""_blank"">查看</a>"
北京交通大学,统考,(010)软件学院,(085212)(专业学位)软件工程,(01)云计算与大数据,"<ahref=""/zsml/kskm.jsp?id=1000421010085212011""target=""_blank"">查看</a>"
北京交通大学,统考,(010)软件学院,(085212)(专业学位)软件工程,(02)人工智能,"<ahref=""/zsml/kskm.jsp?id=1000421010085212021""target=""_blank"">查看</a>"
北京交通大学,统考,(010)软件学院,(085212)(专业学位)软件工程,(03)嵌入式开发技术,"<ahref=""/zsml/kskm.jsp?id=1000421010085212031""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(01)机器学习与认知计算,"<ahref=""/zsml/kskm.jsp?id=1000421002085211011""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(02)数据与知识工程,"<ahref=""/zsml/kskm.jsp?id=1000421002085211021""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(03)高性能计算,"<ahref=""/zsml/kskm.jsp?id=1000421002085211031""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(04)移动与互联网络,"<ahref=""/zsml/kskm.jsp?id=1000421002085211041""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(05)轨道交通信息技术,"<ahref=""/zsml/kskm.jsp?id=1000421002085211051""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(06)计算机安全,"<ahref=""/zsml/kskm.jsp?id=1000421002085211061""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(07)医学信息处理,"<ahref=""/zsml/kskm.jsp?id=1000421002085211071""target=""_blank"">查看</a>"
北京交通大学,统考,(002)计算机与信息技术学院,(085211)(专业学位)计算机技术,(08)人工智能及应用,"<ahref=""/zsml/kskm.jsp?id=1000421002085211081""target=""_blank"">查看</a>"
北京工业大学,统考,(061)信息学部,(085212)(专业学位)软件工程,(01)物联网软件与系统,"<ahref=""/zsml/kskm.jsp?id=1000521061085212011""target=""_blank"">查看</a>"
北京工业大学,统考,(061)信息学部,(085212)(专业学位)软件工程,(02)软件工程技术与网络安全,"<ahref=""/zsml/kskm.jsp?id=1000521061085212021""target=""_blank"">查看</a>"
北京工业大学,统考,(061)信息学部,(085212)(专业学位)软件工程,(03)智能媒体技术与应用,"<ahref=""/zsml/kskm.jsp?id=1000521061085212031""target=""_blank"">查看</a>"
北京工业大学,统考,(061)信息学部,(085212)(专业学位)软件工程,(04)嵌入式软件与系统,"<ahref=""/zsml/kskm.jsp?id=1000521061085212041""target=""_blank"">查看</a>"
北京工业大学,统考,(061)信息学部,(085212)(专业学位)软件工程,(05)大数据与信息服务工程,"<ahref=""/zsml/kskm.jsp?id=1000521061085212051""target=""_blank"">查看</a>"
北京工业大学,单考,(061)信息学部,(085212)(专业学位)软件工程,(01)物联网软件与系统,"<ahref=""/zsml/kskm.jsp?id=1000523061085212011""target=""_blank"">查看</a>"
北京工业大学,单考,(061)信息学部,(085212)(专业学位)软件工程,(02)软件工程技术与网络安全,"<ahref=""/zsml/kskm.jsp?id=1000523061085212021""target=""_blank"">查看</a>"
北京工业大学,单考,(061)信息学部,(085212)(专业学位)软件工程,(03)智能媒体技术与应用,"<ahref=""/zsml/kskm.jsp?id=1000523061085212031""target=""_blank"">查看</a>"
北京工业大学,单考,(061)信息学部,(085212)(专业学位)软件工程,(04)嵌入式软件与系统,"<ahref=""/zsml/kskm.jsp?id=1000523061085212041""target=""_blank"">查看</a>"
