学校,政治,英语,数学,专业
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(867)计算机基础综合
北京大学,(101)思想政治理论,(201)英语一,(301)数学一,(852)嵌入式技术基础
北京大学,(101)思想政治理论,(201)英语一,(303)数学三,(907)经济学综合
北京大学,(101)思想政治理论,(201)英语一,(303)数学三,(907)经济学综合
北京大学,(101)思想政治理论,(201)英语一,(619)英汉互译,(890)计算机应用基础
中国人民大学,(101)思想政治理论,(204)英语二,(302)数学二,(856)软件工程基础综合
清华大学,(101)思想政治理论,(201)英语一,(301)数学一,(914)软件工程基础综合
清华大学,(101)思想政治理论,(201)英语一,(301)数学一,(912)计算机专业基础综合
北京交通大学,(101)思想政治理论,(204)英语二,(302)数学二,(901)软件工程
北京交通大学,(101)思想政治理论,(204)英语二,(302)数学二,(901)软件工程
北京交通大学,(101)思想政治理论,(204)英语二,(302)数学二,(901)软件工程
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京交通大学,(101)思想政治理论,(201)英语一,(301)数学一,(923)操作系统原理
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(892)软件工程领域专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(895)计算机学科专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(895)计算机学科专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(895)计算机学科专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(895)计算机学科专业基础
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京工业大学,(101)思想政治理论,(204)英语二,(302)数学二,(896)数据结构
北京航空航天大学,(101)思想政治理论,(204)英语二,(302)数学二,(991)数据结构与C语言程序设计
北京航空航天大学,(101)思想政治理论,(201)英语一,(301)数学一,(961)计算机基础综合
北京理工大学,(101)思想政治理论,(201)英语一,(302)数学二,(885)软件工程专业基础综合
北京理工大学,(101)思想政治理论,(204)英语二,(302)数学二,(889)数据结构
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京科技大学,(101)思想政治理论,(204)英语二,(302)数学二,(871)计算机综合一(含计算机组成原理、数据结构)
北京化工大学,(101)思想政治理论,(204)英语二,(302)数学二,(842)数据结构
北京化工大学,(101)思想政治理论,(204)英语二,(302)数学二,(842)数据结构
北京化工大学,(101)思想政治理论,(204)英语二,(302)数学二,(842)数据结构
北京化工大学,(101)思想政治理论,(204)英语二,(302)数学二,(842)数据结构
北京化工大学,(101)思想政治理论,(204)英语二,(302)数学二,(842)数据结构
北京化工大学,(101)思想政治理论,(204)英语二,(302)数学二,(842)数据结构
北京邮电大学,(101)思想政治理论,(201)英语一,(301)数学一,(807)软件工程专业综合
北京邮电大学,(101)思想政治理论,(201)英语一,(301)数学一,(807)软件工程专业综合
北京邮电大学,(101)思想政治理论,(201)英语一,(301)数学一,(807)软件工程专业综合
北京邮电大学,(101)思想政治理论,(201)英语一,(301)数学一,(807)软件工程专业综合
北京邮电大学,(101)思想政治理论,(201)英语一,(301)数学一,(807)软件工程专业综合
北京邮电大学,(101)思想政治理论,(201)英语一,(301)数学一,(803)计算机学科基础综合
北京邮电大学,(101)思想政治理论,(201)英语一,(301)数学一,(803)计算机学科基础综合
